InitialSeparation,OvertakingSpeed,OncomingSpeed,Success
234.2,18.8,30.4,True
200.2,20.2,27.7,True
156.8,20.3,28.8,False
256.5,30.8,23.9,True
165.2,21.0,21.2,True
204.4,25.9,32.3,True
223.7,31.4,20.0,True
239.8,26.7,31.1,True
161.4,28.0,30.4,False
145.2,30.4,29.8,False
156.0,26.7,29.6,False
239.1,31.2,27.7,False
165.9,23.1,29.2,False
218.9,20.6,18.0,True
166.1,19.8,21.2,True
232.0,24.8,26.1,True
147.4,26.2,23.2,False
215.2,24.4,31.3,False
163.8,23.5,22.3,False
258.9,30.4,27.9,True
269.0,20.8,31.1,True
272.6,20.9,27.4,True
142.0,21.4,27.7,False
151.9,29.0,25.0,False
144.2,18.2,21.0,False
204.2,22.0,20.5,True
165.6,29.0,25.5,False
151.0,33.0,32.1,False
141.5,23.8,26.3,False
266.5,24.6,20.4,True
212.3,23.2,19.6,True
242.0,23.9,30.2,True
165.7,31.0,19.6,False
214.0,21.8,28.6,True
143.0,23.8,19.5,False
248.1,20.4,28.8,True
252.6,30.9,23.3,True
268.8,30.5,30.2,True
186.3,29.2,31.8,False
228.2,29.0,29.3,False
170.0,31.5,27.9,False
234.2,21.7,19.3,True
149.4,23.5,19.4,False
239.0,30.1,31.9,True
197.7,19.1,20.9,True
153.1,24.4,26.4,False
206.5,22.0,27.0,True
270.6,27.1,31.7,True
183.5,30.7,29.2,False
160.8,22.5,20.4,True
196.0,23.0,31.6,True
248.0,24.9,24.9,True
235.8,24.0,28.3,True
172.8,24.7,28.4,False
268.8,29.0,28.8,True
171.5,20.5,33.0,False
151.5,25.5,23.3,False
160.1,24.8,23.3,False
186.8,28.6,32.0,False
171.7,26.9,19.3,True
227.5,33.0,30.2,False
140.2,24.3,30.5,False
247.7,30.5,32.1,True
235.1,19.6,19.1,True
211.4,31.4,27.7,False
143.8,31.8,30.5,False
165.7,26.1,23.5,False
157.1,24.6,18.6,False
193.9,28.0,26.0,False
275.1,30.0,30.5,True
193.2,28.1,32.7,False
275.3,21.6,29.6,True
147.9,26.9,23.6,False
150.2,26.1,20.0,False
176.8,29.1,22.7,False
153.0,25.9,28.8,False
261.8,19.8,25.7,True
276.0,31.4,28.3,True
147.7,25.8,22.2,False
249.3,29.8,21.5,True
246.3,30.4,25.2,True
218.9,18.2,30.2,True
230.2,22.4,22.0,True
262.4,29.1,21.8,True
161.4,21.9,24.1,True
208.7,25.9,26.9,False
142.4,26.8,24.7,False
151.3,24.0,30.7,False
261.5,19.0,29.2,True
184.4,29.8,19.9,False
266.2,21.3,31.1,True
241.4,18.3,32.9,True
147.8,32.5,23.7,False
142.6,27.9,26.8,False
143.6,30.3,28.0,False
221.2,26.5,30.9,False
166.9,25.6,25.3,False
215.0,19.0,18.5,True
170.0,19.6,27.0,True
161.1,23.0,24.5,False
