InitialSeparation,OvertakingSpeed,OncomingSpeed,Success
258.4,26.7,26.1,True
187.0,24.6,28.5,False
244.0,30.4,30.0,False
215.1,23.9,30.5,False
214.4,21.6,20.0,True
266.7,26.3,32.5,True
215.2,27.6,25.3,True
218.2,31.7,32.3,False
273.5,31.6,27.3,True
154.4,31.3,27.2,False
165.0,18.6,28.9,True
226.4,32.4,29.6,False
215.1,26.8,32.0,False
200.4,24.4,28.4,False
230.6,21.0,24.0,True
195.4,28.3,21.6,False
166.2,30.8,21.9,False
172.4,28.8,26.3,False
238.2,20.9,32.6,True
196.3,28.1,29.7,False
169.2,25.8,22.9,False
191.2,23.1,23.5,True
152.4,22.9,21.6,False
266.9,27.7,20.1,True
246.3,23.6,30.9,True
215.4,22.5,28.1,True
256.4,31.0,27.4,False
150.1,30.3,24.2,False
158.9,29.4,26.0,False
222.8,26.3,27.2,True
145.6,22.5,30.6,False
179.5,26.7,26.9,False
174.9,22.2,23.5,True
219.2,18.9,19.7,True
249.1,19.9,19.9,True
264.4,32.1,31.8,False
249.4,23.3,23.3,True
225.1,25.8,30.2,False
223.8,22.3,20.8,True
197.2,32.7,29.8,False
265.5,24.6,23.7,True
246.3,30.6,21.4,False
192.4,22.2,22.6,True
151.3,21.9,26.7,False
193.7,24.7,22.9,True
267.8,22.0,20.5,True
211.3,31.6,21.5,False
177.4,18.3,27.5,False
176.1,30.2,20.8,False
278.4,32.0,25.7,True
235.1,28.0,24.1,True
193.6,20.1,26.8,True
185.3,27.0,26.8,False
242.4,25.8,29.0,False
166.9,25.3,28.4,False
202.4,19.7,25.0,True
180.4,19.0,20.2,True
274.2,29.0,30.1,True
152.7,21.1,24.1,False
192.9,21.4,23.7,True
189.9,24.4,24.0,True
242.5,25.8,21.0,True
274.9,23.7,23.7,True
218.1,22.7,18.8,True
161.5,22.2,32.2,False
256.8,19.5,23.5,True
278.9,20.5,23.8,True
141.3,21.2,31.5,False
202.5,26.8,30.5,False
150.9,20.1,23.3,True
204.4,21.0,22.7,True
143.9,28.0,24.8,False
159.5,32.7,23.6,False
163.5,22.6,20.1,True
225.6,31.0,19.3,False
208.2,25.0,22.2,True
182.1,21.5,23.9,False
196.4,30.6,20.3,False
148.6,19.1,20.6,True
181.7,18.1,30.6,False
219.7,27.3,29.3,True
278.0,23.6,26.5,True
265.3,22.9,21.6,True
141.5,24.0,31.1,False
142.9,22.4,31.2,False
206.9,18.4,32.3,True
235.6,30.3,30.2,False
209.7,26.6,28.1,False
168.6,31.2,22.2,False
148.4,18.6,27.3,True
254.7,32.9,28.6,True
182.4,22.0,20.3,True
222.2,21.0,20.8,True
209.3,25.8,19.3,True
181.8,32.5,26.3,False
187.2,28.8,28.2,False
148.4,25.4,19.3,False
143.1,27.9,29.4,False
165.0,21.2,30.0,False
180.7,27.4,27.1,False
203.0,18.4,23.6,True
141.0,31.1,28.0,False
218.4,26.8,26.9,True
146.7,19.5,22.3,False
184.1,30.4,32.7,False
252.2,31.2,28.0,False
162.9,20.0,25.4,True
199.0,28.8,28.2,False
207.0,24.5,21.5,True
272.7,20.9,23.0,True
151.4,19.4,31.1,False
231.1,26.1,25.8,True
242.3,22.3,18.4,True
239.7,23.2,21.2,True
168.8,24.8,32.8,False
252.5,23.5,31.9,True
221.0,22.5,25.8,True
205.9,30.3,18.3,False
217.7,32.4,25.4,True
144.0,30.8,23.8,False
253.6,28.1,21.1,True
247.4,22.6,27.5,True
232.0,32.7,19.0,True
227.5,27.1,19.5,True
192.9,27.1,18.8,False
279.6,31.1,19.4,True
232.2,27.5,25.5,False
264.5,23.9,21.0,True
177.2,21.8,26.9,False
210.3,19.4,29.2,True
147.7,29.3,28.1,False
205.9,22.6,21.0,True
166.2,21.8,23.6,False
221.0,18.7,23.2,True
182.1,27.6,32.9,False
220.4,31.1,27.6,False
149.5,25.4,26.5,False
218.1,28.1,18.8,False
140.8,22.0,25.3,False
156.8,23.9,27.3,False
239.7,29.1,32.0,False
247.2,29.4,25.4,True
179.4,19.2,26.8,True
197.4,27.9,22.4,False
155.7,22.6,20.9,False
252.1,29.0,18.4,True
254.0,21.5,32.5,True
207.9,19.1,27.1,True
268.2,22.5,30.1,True
241.4,29.9,25.8,False
262.3,30.5,26.8,False
262.1,27.9,30.5,True
227.3,24.3,21.2,True
193.1,26.8,18.9,False
271.4,28.9,32.3,True
168.0,22.4,29.3,False
165.4,32.6,23.2,False
233.7,30.2,26.5,True
202.1,27.3,26.4,False
256.4,27.7,23.3,True
178.2,22.7,30.9,False
246.7,19.6,26.5,True
151.5,26.8,32.6,False
232.6,19.8,22.5,True
230.8,21.4,32.4,True
258.6,28.9,19.8,True
183.5,26.3,21.3,False
244.9,30.4,22.4,True
153.8,25.6,32.8,False
241.5,24.3,19.9,True
160.2,27.9,26.2,False
262.1,20.1,18.0,True
208.1,21.1,18.4,True
243.2,20.6,18.5,True
277.6,24.6,19.1,True
142.3,26.1,28.1,False
270.5,19.5,27.1,True
163.4,23.8,29.5,False
188.6,25.5,25.2,False
143.0,24.2,19.5,False
210.3,19.8,19.8,True
187.8,20.7,25.8,True
190.9,30.4,18.1,True
165.3,21.5,27.4,False
263.2,22.2,27.6,True
193.6,18.8,27.3,True
140.4,18.5,29.5,False
265.2,32.9,29.3,True
164.9,21.6,25.0,False
174.3,26.2,20.9,True
198.0,19.0,29.7,True
149.9,29.6,18.3,False
190.0,21.9,18.8,True
159.7,18.4,30.6,True
157.2,29.6,21.1,False
245.4,21.0,23.0,True
210.2,19.5,24.0,True
216.8,27.9,32.3,False
178.1,21.1,25.6,False
246.8,19.8,31.1,True
157.9,23.7,18.2,True
258.4,24.7,32.6,True
180.2,22.5,21.4,True
262.2,22.6,32.3,True
266.7,23.7,30.1,True
231.8,31.0,23.6,True
